92.73,0.447387670974,92.11,0.479250876062
93.52,0.400301031784,93.056,0.421212977775
93.97,0.375060460324,93.562,0.390426034484
94.09,0.360545707558,93.896,0.370552621407
94.37,0.347948494442,94.132,0.354441017379
94.49,0.338458011699,94.37,0.342708026124
94.66,0.33058288471,94.508,0.33197433716
94.76,0.324245191594,94.678,0.322601230633
94.75,0.319128591616,94.802,0.315651849437
94.77,0.314603395249,94.954,0.30837309889
94.91,0.309643825044,95.034,0.302215218571
95.0,0.305962904742,95.148,0.297304719072
95.09,0.302163992282,95.224,0.291729971121
95.12,0.299601263303,95.298,0.287204877617
95.15,0.296173586979,95.388,0.282779148324
95.15,0.294623075517,95.428,0.278885285694
95.29,0.290624170195,95.564,0.275108590947
95.29,0.289926252961,95.578,0.271853870338
95.39,0.286420383746,95.682,0.268044239475
95.42,0.284759494369,95.72,0.264970023047
95.42,0.283144969511,95.784,0.262296378272
95.38,0.281466941061,95.816,0.259127825507
95.46,0.279600565931,95.836,0.256489465268
95.44,0.278074184543,95.932,0.253896548283
95.54,0.276595173906,95.954,0.251781541928
95.48,0.275841838809,96.008,0.249247526318
95.56,0.273651701044,96.036,0.246730867426
95.52,0.272919382666,96.09,0.244760357385
95.65,0.270436744914,96.14,0.242566270884
95.61,0.270050539641,96.204,0.240441287844
